epoch,success_flag,cumulative_success,loss,acc1,acc5
0,0,0,4.3515625,0.033203125,0.158203125
0,0,0,4.2265625,0.142578125,0.2734375
0,0,0,4.15625,0.154296875,0.291015625
1,1,1,4.08203125,0.15625,0.29296875
1,0,1,4.0859375,0.15625,0.29296875
2,1,2,3.9296875,0.15234375,0.29296875
2,0,2,3.9296875,0.15234375,0.29296875
3,0,2,3.822265625,0.162109375,0.291015625
3,0,2,3.7265625,0.162109375,0.302734375
3,0,2,3.689453125,0.1640625,0.298828125
